;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
1216174;D;E;C;A;4;E;A;B;D;B;B;B;B;B;A;B;A;A;B;A;A;E;A;B;B;;RS;1;M;1;;1.0;;;;1.0;1;;1.0;;3
2249171;;;C;D;3;I;A;B;C;A;A;B;A;B;A;A;A;B;C;A;A;D;A;A;B;;MG;0;M;0;2.0;1.0;;;;1.0;7;;1.0;;1
919415;F;G;E;E;4;N;D;E;E;B;A;B;C;B;B;B;A;B;D;A;A;E;A;C;B;;PA;0;F;1;;1.0;;;;1.0;1;;1.0;;3
245348;E;G;D;D;4;G;A;C;C;B;A;B;A;B;A;B;A;A;B;A;A;E;B;D;B;;RJ;0;F;0;5.0;2.0;;;;1.0;7;;1.0;;1
1946050;E;G;D;C;4;D;A;B;C;B;A;B;A;B;B;B;A;A;C;A;A;D;A;A;B;;MT;1;M;0;;3.0;;1.0;2.0;1.0;2;;1.0;;2
1297367;E;E;B;;5;C;A;C;C;A;A;B;A;B;A;B;A;A;C;A;A;E;A;B;B;RJ;RJ;0;M;0;;;2.0;1.0;2.0;;5;1.0;1.0;1.0;2
1053600;E;E;B;A;3;A;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B;;MA;1;F;0;5.0;3.0;;;;1.0;8;;1.0;;1
1933198;G;G;E;E;3;N;B;E;E;D;A;D;C;B;A;B;A;B;E;B;B;E;B;D;B;;SP;1;M;0;1.0;1.0;;;;1.0;4;;1.0;;1
694253;F;G;D;D;4;Q;D;E;E;C;A;B;C;B;A;B;A;B;C;A;B;E;A;E;B;;BA;0;F;0;;3.0;;1.0;3.0;1.0;2;;1.0;;2
2344347;D;E;C;C;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;;BA;1;M;0;2.0;3.0;;;;1.0;5;;1.0;;1
1926024;E;F;D;D;4;C;A;B;B;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;A;;AM;0;F;0;;3.0;;1.0;2.0;1.0;2;;1.0;;2
1140923;E;F;C;B;6;C;A;C;D;B;A;B;B;B;A;A;A;A;B;A;A;E;A;B;B;;AL;1;M;0;9.0;3.0;;;;1.0;11;;1.0;;1
2132313;;B;C;B;5;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B;;SP;1;F;0;;1.0;;1.0;2.0;1.0;3;;2.0;;2
384464;E;F;C;B;2;B;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;B;A;A;B;;RJ;1;F;0;3.0;1.0;;;;1.0;5;;1.0;;1
1650019;;E;A;B;2;E;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B;;PE;1;F;0;2.0;1.0;;;;1.0;5;;1.0;;1
1130908;B;B;A;A;4;E;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B;;MG;0;M;0;17.0;3.0;;;;2.0;14;;1.0;;1
273770;C;C;C;B;3;E;A;C;C;B;B;B;C;B;B;B;A;B;B;B;B;D;A;B;B;PR;PR;1;M;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
97290;;B;;B;2;B;A;B;C;B;B;B;A;B;A;B;A;A;B;A;A;C;A;A;B;;RJ;1;M;0;;3.0;;;;1.0;13;;1.0;;1
2621938;E;E;D;D;3;G;A;C;C;B;A;B;B;B;A;B;A;A;D;B;B;D;A;C;B;;RJ;0;M;1;;3.0;;;;1.0;2;;1.0;;3
